Date,predicted_price,prediction_date
2022-11-20,17128.147298177082,2022-11-27
2024-11-20,98569.59479166666,2024-11-27
2022-04-03,46489.494954427086,2022-04-10
2022-06-02,29316.506103515625,2022-06-09
2021-06-09,39346.85708007812,2021-06-16
2021-11-22,55622.94345703125,2021-11-29
2022-07-21,23624.163134765626,2022-07-28
2020-09-23,10754.406526692708,2020-09-30
2022-06-17,21129.66181640625,2022-06-24
2024-05-25,67574.34514973959,2024-06-01
2020-02-21,9118.348445638021,2020-02-28
2023-07-02,30164.77216796875,2023-07-09
2023-02-05,23386.027262369793,2023-02-12
2023-07-10,29125.905143229167,2023-07-17
2023-09-26,27139.597249348957,2023-10-03
2023-05-07,28752.975130208335,2023-05-14
2022-02-10,43858.2001953125,2022-02-17
2023-08-27,26138.22410481771,2023-09-03
2023-12-26,41927.09521484375,2024-01-02
2023-12-07,42077.90387369792,2023-12-14
2024-02-07,42647.61861979167,2024-02-14
2020-09-10,10817.250170898438,2020-09-17
2024-11-05,66518.78121744792,2024-11-12
2024-12-16,101394.07272135417,2024-12-23
2024-01-14,42278.75966796875,2024-01-21
2023-08-14,28339.23076171875,2023-08-21
2021-05-17,44144.25283203125,2021-05-24
2020-08-07,11553.091121419271,2020-08-14
2022-04-02,43857.70595703125,2022-04-09
2022-04-16,39118.01451822917,2022-04-23
2022-05-27,26631.028759765624,2022-06-03
2024-09-15,60166.3580078125,2024-09-22
2020-11-17,17302.60830078125,2020-11-24
2021-11-01,61199.73870442708,2021-11-08
2022-03-26,45341.77737630208,2022-04-02
2022-05-29,27777.316552734374,2022-06-05
2023-10-19,29815.923697916667,2023-10-26
2024-11-22,98596.24186197917,2024-11-29
2020-02-26,9327.203401692708,2020-03-04
2023-08-13,28037.666861979167,2023-08-20
2022-10-25,20617.369702148437,2022-11-01
2021-07-11,35588.43743489583,2021-07-18
2023-02-15,24694.6443359375,2023-02-22
2024-07-31,61730.9931640625,2024-08-07
2021-08-09,43908.300553385416,2021-08-16
2022-03-28,49237.25475260417,2022-04-04
2024-01-29,43275.16663411458,2024-02-05
2022-09-09,22330.97540690104,2022-09-16
2020-01-02,7590.745849609375,2020-01-09
2024-02-16,54738.03766276042,2024-02-23
2022-06-18,19579.44325358073,2022-06-25
2024-11-15,92433.48977864583,2024-11-22
2024-06-14,65701.67073567708,2024-06-21
2023-05-16,27976.398502604166,2023-05-23
2020-04-11,7293.281693522135,2020-04-18
2023-05-19,27631.064322916667,2023-05-26
2022-11-13,17088.811100260416,2022-11-20
2021-07-18,33920.58491210938,2021-07-25
2023-01-03,17101.570638020832,2023-01-10
2022-07-28,25260.87013346354,2022-08-04
2020-09-14,10847.294734700521,2020-09-21
2020-04-15,7095.099328613282,2020-04-22
2020-12-22,26590.075341796874,2020-12-29
2021-08-08,42987.67626953125,2021-08-15
2024-12-27,95081.05104166667,2025-01-03
2020-02-15,9833.774129231771,2020-02-22
2022-01-27,39108.2375,2022-02-03
2024-02-29,54758.752213541666,2024-03-07
2023-05-28,29298.83701171875,2023-06-04
2022-02-20,41475.827734375,2022-02-27
